ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Indonesian;Italian;Japanese;Korean;Dutch;Norwegian;Polish;Portugese;Spanish;Swedish;Tagalog
1200000025;Abel-shittim;亚伯什亭;亞伯什亭;ABEL-ŠITTIM;ABEL-SJITTIM;Abel-Schittim;ΑΒΕΛ‐ΣΙΤΤΙΜ;Abel-Sittim;Abel-Shittim;ABEL-SYITIM;Abel-Sittim;アベル･シッテム;아벨-싯팀;ABEL-SITTIM;ABEL-SJITTIM;ABEL-SZITTIM;Abel-Sitim;ABEL-SITIM;ABEL-SITTIM;ABEL-SITIM
1200000026;Abhorrent Thing;;;ODPUZUJÍCÍ VĚC;AFSKY;Abscheuliches;ΑΠΟΚΡΟΥΣΤΙΚΟ ΠΡΑΓΜΑ, ΑΠΟΣΤΡΟΦΗ;;Dégoûtante (Chose);;Cosa orrenda;憎悪すべきもの;몹시 혐오스러운 것;AFSCHUWELIJKS, IETS;AVSKY, AVSKYELIG;;Abominável, Coisa;COSA ABORRECIBLE;MOTBJUDANDE, NÅGOT;NAKAMUMUHING BAGAY
1200000027;Abi;亚比;亞比;ABI;ABI;Abi;ΑΒΙ;Abi;Abi;ABI;Abi;アビ;아비;ABI;ABI;ABI;Abi;ABÍ;ABI;ABI
1200000028;Abi-albon;亚比亚本;亞比亞本;ABI-ALBON;ABI-ALBON;Abi-Albon;ΑΒΙ‐ΑΛΒΩΝ;Abi-Albon;Abi-Albôn;ABI-ALBON;Abi-Albon;アビ･アルボン;아비-알본;ABI-ALBON;ABI-ALBON;ABI-ALBON;Abi-Albom;ABÍ-ALBÓN;ABI-ALBON;ABI-ALBON
1200000029;Abiasaph;亚比亚撒;亞比亞撒;ABIASAF;ABIASAF;Abiasaph;ΑΒΙΑΣΑΦ;Abiasaf;Abiasaph;ABIASAF;Abiasaf;アビアサフ;아비아삽;ABIASAF;ABIASAF;ABIASAF;Abiasafe;ABIASAF;ABIASAF;ABIASAP
1200000030;Abiathar;亚比亚他;亞比亞他;ABJATAR;EBJATAR;Abjathar;ΑΒΙΑΘΑΡ;Abjatar;Abiathar;ABIATAR;Abiatar;アビヤタル;아비아달;ABJATHAR;ABJATAR;ABIATAR;Abiatar;ABIATAR;EBJATAR;ABIATAR
1200000031;Abib;亚笔月;亞筆月;ABIB;ABIB;Abib;ΑΒΙΒ;Abib;Abib;ABIB;Abib;アビブ;아빕월;ABIB;ABIB;ABIB;Abibe;ABIB;ABIB;ABIB
1200000032;Abida;亚比达;亞比達;ABIDA;ABIDA;Abida;ΑΒΙΔΑ;Abida;Abida;ABIDA;Abida;アビダ;아비다;ABIDA;ABIDA;ABIDA;Abida;ABIDÁ;ABIDA;ABIDA
1200000033;Abidan;亚比旦;亞比旦;ABIDAN;ABIDAN;Abidan;ΑΒΙΔΑΝ;Abidan;Abidân;ABIDAN;Abidan;アビダン;아비단;ABIDAN;ABIDAN;ABIDAN;Abidã;ABIDÁN;ABIDAN;ABIDAN
1200000034;Abiel;亚别;亞别;ABIEL;ABIEL;Abiel;ΑΒΙΗΛ;Abiel;Abiël;ABIEL;Abiel;アビエル;아비엘;ABIËL;ABIEL;ABIEL;Abiel;ABIEL;ABIEL;ABIEL
1200000035;Abi-ezer;亚比以谢;亞比以謝;ABI-EZER;ABI’EZER;Abieser;ΑΒΙ‐ΕΖΕΡ;Abieser;Abiézer;ABI-EZER;Abiezer;アビ･エゼル;아비-에셀;ABIËZER;ABIESER;ABIEZER;Abiezer;ABÍ-ÉZER;ABIESER;ABI-EZER
1200000036;Abi-ezrite;亚比以谢人;亞比以謝人;ABI-EZROVEC;ABIEZRIT;Abiesriter;ΑΒΙΕΖΕΡΙΤΗΣ;Abieserilainen;Abiézerite;ABI-EZER, KETURUNAN;Abiezerita;アビ･エゼル人;아비-에셀 사람;ABIËZRIET;ABIESRITT;ABIEZERYTA;Abiezrita;ABÍ-EZRITA;ABIESRIT;ABI-EZRITA
1200000037;Abigail;亚比该;亞比該;ABIGAIL;ABIGAJIL;Abigail;ΑΒΙΓΑΙΑ;Abigail;Abigaïl;ABIGAIL;Abigail;アビガイル;아비가일;ABIGAÏL;ABIGAJIL;ABIGAIL;Abigail;ABIGAIL;ABIGAJIL;ABIGAIL
1200000038;Abihail;亚比哈;亞比哈;ABICHAJIL;ABIHAJIL;Abihajil;ΑΒΙΧΑΙΛ;Abihail;Abihaïl;ABIHAIL;Abiail;アビハイル;아비하일;ABICHAÏL;ABIHAJIL;ABICHAIL;Abiail;ABIHÁIL;ABIHAJIL;ABIHAIL
1200000039;Abihu;亚比户;亞比户;ABIHU;ABIHU;Abihu;ΑΒΙΟΥ;Abihu;Abihou;ABIHU;Abiu;アビフ;아비후;ABIHU;ABIHU;ABIHU;Abiú;ABIHÚ;ABIHU;ABIHU
1200000040;Abihud;亚比忽;亞比忽;ABIHUD;ABIHUD;Abihud;ΑΒΙΧΟΥΔ;Abihud;Abihoud;ABIHUD;Abiud;アビフド;아비훗;ABIHUD;ABIHUD;ABIHUD;;ABIHUD;;ABIHUD
1200000041;Abijah;亚比雅;亞比雅;ABIJA, ABIJÁŠ;ABIJA;Abija;ΑΒΙΑ;Abia;Abiya;ABIYA;Abia;アビヤ;아비야;ABIA;ABIJA;ABIJASZ;Abias;ABÍAS;ABIA;ABIAS
1200000042;Abijam;亚比央;亞比央;ABIJAM;ABIJAM;Abijam;ΑΒΙΑΜ;Abiam;Abiyam;ABIYAM;Abiam;アビヤム;아비얌;ABIAM;ABIJAM;ABIJAM;Abijão;ABIYAM;ABIAM;ABIAM
1200000043;Abilene;亚比利尼;亞比利尼;ABILÉNA;ABILENE;Abilene;ΑΒΙΛΗΝΗ;Abilene;Abilène;ABILENE;Abilene;アビレネ;아빌레네;ABILENE;ABILENE;ABILENA;Abilene;ABILENE;ABILENE;ABILINIA
1200000044;Abimael;亚比玛珥;亞比瑪珥;ABIMAEL;ABIMAEL;Abimael;ΑΒΙΜΑΗΛ;Abimael;Abimaël;ABIMAEL;Abimael;アビマエル;아비마엘;ABIMAËL;ABIMAEL;ABIMAEL;Abimael;ABIMAEL;ABIMAEL;ABIMAEL
1200000045;Abimelech;亚比米勒;亞比米勒;ABIMELEK;ABIMELEK;Abimelech;ΑΒΙΜΕΛΕΧ;Abimelek;Abimélek;ABIMELEKH;Abimelec;アビメレク;아비멜렉;ABIMELECH;ABIMELEK;ABIMELECH;Abimeleque;ABIMÉLEC;ABIMELEK;ABIMELEC
1200000046;Abinadab;亚比拿达;亞比拿達;ABINADAB;ABINADAB;Abinadab;ΑΒΙΝΑΔΑΒ;Abinadab;Abinadab;ABINADAB;Abinadab;アビナダブ;아비나답;ABINADAB;ABINADAB;ABINADAB;Abinadabe;ABINADAB;ABINADAB;ABINADAB
1200000047;Abinoam;亚比挪因;亞比挪因;ABINOAM;ABINOAM;Abinoam;ΑΒΙΝΟΑΜ;Abinoam;Abinoam;ABINOAM;Abinoam;アビノアム;아비노암;ABINOAM;ABINOAM;ABINOAM;Abinoão;ABINOAM;ABINOAM;ABINOAM
1200000048;Abiram;亚比兰;亞比蘭;ABIRAM;ABIRAM;Abiram;ΑΒΙΡΩΝ;Abiram;Abiram;ABIRAM;Abiram;アビラム;아비람;ABIRAM;ABIRAM;ABIRAM;Abirão;ABIRAM;ABIRAM;ABIRAM
1200000049;Abishag;亚比莎;亞比莎;ABIŠAG;ABISJAG;Abischag;ΑΒΙΣΑΓ;Abisag;Abishag;ABISYAG;Abisag;アビシャグ;아비삭;ABISAG;ABISJAG;ABISZAG;Abisague;ABISAG;ABISAG;ABISAG
1200000050;Abishai;亚比筛;亞比篩;ABIŠAI;ABISJAJ;Abischai;ΑΒΙΣΑΙ;Abisai;Abishaï;ABISYAI;Abisai;アビシャイ;아비새;ABISAÏ;ABISJAI;ABISZAJ;Abisai;ABISAI;ABISAJ;ABISAI
1200000051;Abishalom;;;ABIŠALOM;ABISJALOM;Abischalom;ΑΒΙΣΑΛΩΜ;Abisalom;Abishalom;ABISYALOM;Abisalom;アビシャロム;아비살롬;ABISALOM;ABISJALOM;ABISZALOM;Abisalão;ABISALOM;ABISALOM;ABISALOM
1200000052;Abishua;亚比书;亞比書;ABIŠUA;ABISJUA;Abischua;ΑΒΙΣΣΟΥΑ;Abisua;Abishoua;ABISYUA;Abisua;アビシュア;아비수아;ABISUA;ABISJUA;ABISZUA;Abisua;ABISÚA;ABISUA;ABISUA
1200000053;Abishur;亚比述;亞比述;ABIŠUR;ABISJUR;Abischur;ΑΒΙΣΟΥΡ;Abisur;Abishour;ABISYUR;Abisur;アビシュル;아비술;ABISUR;ABISJUR;ABISZUR;Abisur;ABISUR;ABISUR;ABISUR
1200000054;Abital;亚比泰;亞比泰;ABITAL;ABITAL;Abital;ΑΒΙΤΑΛ;Abital;Abital;ABITAL;Abital;アビタル;아비달;ABITAL;ABITAL;ABITAL;Abital;ABITAL;ABITAL;ABITAL
1200000055;Abitub;亚比突;亞比突;ABITUB;ABITUB;Abitub;ΑΒΙΤΩΒ;Abitub;Abitoub;ABITUB;Abitub;アビトブ;아비둡;ABITUB;ABITUB;ABITUB;Abitube;ABITUB;ABITUB;ABITUB
1200000056;Abiud;亚比育;亞比育;ABIUD;ABIUD;Abiud;ΑΒΙΟΥΔ;Abiud;Abioud;ABIUD;;アビウデ;아비웃;ABIUD;ABIUD;ABIUD;Abiúde;ABIUD;ABIHUD;ABIUD
1200000057;Abner;押尼珥;押尼珥;ABNER;ABNER;Abner;ΑΒΕΝΗΡ;Abner;Abner;ABNER;Abner;アブネル;아브넬;ABNER;ABNER;ABNER;Abner;ABNER;ABNER;ABNER
1200000058;Abomination of Desolation;使地荒凉的可憎之物;使地荒涼的可憎之物;OHAVNOST ZPUŠTĚNÍ;ØDELÆGGELSENS VEDERSTYGGELIGHED;Greul der Verwüstung;ΒΔΕΛΥΓΜΑ ΤΗΣ ΕΡΗΜΩΣΕΩΣ;Hävityksen kauhistus;Abomination de la désolation;;Abominazione della desolazione;荒らす憎むべきもの;멸망의 가증한 것;GRUWEL DER VERWOESTING;ØDELEGGENDE STYGGEDOM;;Abominação da desolação;;FÖRÖDELSENS STYGGELSE;
1200000059;Abortion;流产;流産;POTRAT, ZMETÁNÍ;ABORT;Fehlgeburt;ΑΠΟΒΟΛΗ, 1;Keskenmeno;Avortement;KEGUGURAN;Aborto;流産，妊娠中絶;낙태;MISDRACHT, MISKRAAM;ABORT;PORONIENIE;Aborto;ABORTO;ABORT;ABORSIYON
1200000060;Abraham;亚伯拉罕;亞伯拉罕;ABRAHAM;ABRAHAM;Abraham;ΑΒΡΑΑΜ;Abraham;Abraham;ABRAHAM;Abraamo;アブラハム;아브라함;ABRAHAM;ABRAHAM;ABRAHAM;Abraão;ABRAHÁN;ABRAHAM;ABRAHAM
1200000061;Abram;亚伯兰;亞伯蘭;ABRAM;ABRAM;Abram;ΑΒΡΑΜ;Abram;Abram;ABRAM;Abramo;アブラム;아브람;ABRAM;ABRAM;ABRAM;Abrão;ABRÁN;ABRAM;ABRAM
1200000062;Abronah;阿博拿;阿博拿;ABRONA;ABRONA;Abrona;ΑΒΡΩΝΑ;Abrona;Abrona;ABRONA;Abrona;アブロナ;아브로나;ABRONA;ABRONA;ABRONA;Abrona;ABRONÁ;ABRONA;ABRONA
1200000063;Absalom;押沙龙;押沙龍;ABSALOM;ABSALOM;Absalom;ΑΒΕΣΣΑΛΩΜ;Absalom;Absalom;ABSALOM;Absalom;アブサロム;압살롬;ABSALOM;ABSALOM;ABSALOM;Absalão;ABSALÓN;ABSALOM;ABSALOM
1200000064;Abusive Speech;诋毁;詆毁;UTRHAČNÁ ŘEČ;;Lästerliches Reden;ΥΒΡΙΣΤΙΚΑ ΛΟΓΙΑ;Herjaava puhe;Injure, parler en mal;CACIAN;Parlare ingiurioso;ののしりのことば;욕설;SCHIMPEND GEPRAAT;;OBELŻYWA MOWA;Linguagem ultrajante;HABLA INJURIOSA;;MAPANG-ABUSONG PANANALITA
1200000065;Abyss;无底深渊;無底深淵;PROPAST;AFGRUND;Abgrund;ΑΒΥΣΣΟΣ;Syvyys;Abîme;JURANG YANG TIDAK TERDUGA DALAMNYA;Abisso;底知れぬ深み;무저갱;AFGROND;AVGRUNNEN;OTCHŁAŃ;Abismo;ABISMO;AVGRUND;KALALIMAN
1200000066;Acacia;金合欢;金合歡;AKÁCIE;AKACIE;Akazie;ΑΚΑΚΙΑ;Akasia;Acacia;AKASIA;Acacia;アカシア;아카시아나무;ACACIA;AKASIE;AKACJA;Acácia;ACACIA;AKACIA;AKASYA
1200000067;Accad;亚卡;亞卡;AKKAD;AKKAD;Akkad;ΑΚΚΑΔ;Akkad;Akkad;AKAD;Accad;アッカド;악갓;AKKAD;AKKAD;AKKAD;Acade;AKKAD;AKKAD;ACAD
1200000068;Acceptable Time;悦纳的时候;悦納的時候;PŘIJATELNÝ ČAS;VELKOMMEN TID, EN;Annehmbare Zeit;ΕΥΠΡΟΣΔΕΚΤΟΣ ΚΑΙΡΟΣ;Otollinen aika;Temps agréé;MASA PERKENAN;Tempo accettevole;受け入れられる時;받아들이실 만한 때;AANVAARDING, TIJD VAN;ANTAGELIG TID;CZAS DOBREJ WOLI;Tempo aceitável;TIEMPO ACEPTO;VÄLBEHAGLIG TID;KAAYAAYANG PANAHON
1200000069;Accident, Accidental;意外;意外;NÁHODNÁ PŘÍHODA, NEHODA;ULYKKE;Unfall, zufälliges Geschehen;ΑΤΥΧΗΜΑ;Onnettomuus, vahinko, sattuma;Accident, accidentel;KECELAKAAN;Incidente;事故，偶然，もしもの事;사고, 우연;ONGELUK, ONGEVAL;DØDSULYKKE;WYPADEK, PRZYPADEK;Acidente, acaso;ACCIDENTE, ACCIDENTAL;OLYCKA;SAKUNA
1200000070;Acco;亚科;亞科;AKKO;AKKO;Akko;ΑΚΟ;Akko;Akko;AKO;Acco;アコ;악고;AKKO;AKKO;AKKO;Aco;AKKÓ;AKKO;ACO
1200000071;Accusation;指控;指控;OBŽALOBA;ANKLAGE;Anklage;ΚΑΤΗΓΟΡΙΑ;Syytös;Accusation;TUDUHAN;Accusa;訴え，告訴，告発;고발, 비난;BESCHULDIGING;ANKLAGE;OSKARŻENIE;Acusação;ACUSACIÓN;ANKLAGELSE;AKUSASYON
1200000072;Achaia;亚该亚;亞該亞;ACHAIA;ACHAIA;Achaia;ΑΧΑΪΑ;Akhaia;Achaïe;AKHAYA;Acaia;アカイア;아카이아;ACHAJE;AKAIA;ACHAJA;Acaia;ACAYA;AKAJA;ACAYA
1200000073;Achaicus;亚该古;亞該古;ACHAIKUS;AKA’IKUS;Achaikus;ΑΧΑΪΚΟΣ;Akaikos;Achaïcus;AKHAIKUS;Acaico;アカイコ;아가이고;ACHAÏKUS;AKA’IKUS;ACHAIK;Acaico;ACAICO;AKAIKUS;ACAICO
1200000074;Achan;亚干;亞干;ACHAN;;Achan;ΑΧΑΝ;Aakan;Akân;AKHAN;Acan;アカン，I;아간;ACHAN;AKAN;ACHAN;Acã;ACÁN;AKAN;ACAN
1200000075;Achar;;;ACHAR;AKAR;Achar;ΑΧΑΡ;Aakar;Akar;AKHAR;Acar;アカル;아갈;ACHAR;AKAR;ACHAR;Acar;ACAR;AKAR;ACAR
1200000076;Achbor;亚革波;亞革波;AKBOR;AKBOR;Achbor;ΑΧΒΩΡ;Akbor;Akbor;AKHBOR;Acbor;アクボル;악볼;ACHBOR;AKBOR;ACHBOR;Acbor;ACBOR;AKBOR;ACBOR
1200000077;Achim;亚金;亞金;ACHIM;AKIM;Achim;ΑΧΕΙΜ;Akim;Akim;AKHIM;Achim;アキム;아킴;ACHIM;AKIM;ACHIM;Aquim;AQUIM;AKIM;AKIM
1200000078;Achish;亚吉;亞吉;AKIŠ;AKISJ;Achisch;ΑΓΧΟΥΣ;Akis;Akish;AKHIS;Achis;アキシュ;아기스;ACHIS;AKISJ;ACHISZ;Aquis;AKÍS;AKIS;AKIS
1200000079;Achor;亚割;亞割;ACHOR;AKOR;Achor;ΑΧΩΡ;Akor;Akor;AKHOR;Acor;アコル;아골;ACHOR;AKOR-LAVSLETTEN;ACHOR;Acor;ACOR;AKOR;ACOR
1200000080;Achsah;押莎;押莎;AKSA;AKSA;Achsa;ΑΧΣΑΝ;Aksa;Aksa;AKHSA;Acsa;アクサ;악사;ACHSA;AKSA;ACHSA;Acsa;ACSÁ;AKSA;ACSA
1200000081;Achshaph;押煞;押煞;AKŠAF;AKSJAF;Achschaph;ΑΧΣΑΦ;Aksaf;Akshaph;AKHSYAF;Acsaf;アクシャフ;악삽;ACHSAF;AKSJAF;ACHSZAF;Acsafe;ACSAF;AKSAF;ACSAP
1200000082;Achzib;亚革悉;亞革悉;AKZIB;AKZIB;Achsib;ΑΧΖΙΒ;Aksib;Akzib;AKHZIB;Aczib;アクジブ;악십;ACHZIB;AKSIB;ACHZIB;Aczibe;ACZIB;AKSIB;ACZIB
1200000083;Acre;亩;畝;AKR;;;ΣΤΡΕΜΜΑ;Auranala;Arpent;EKAR;Iugero;エーカー;하루갈이;JUK (I);PLOGLAND;MORGA;Jeira;YUGADA;PLOGLAND;AKRE
1200000084;Acts of Apostles;使徒行传;使徒行傳;SKUTKY APOŠTOLŮ;APOSTELGERNINGER;Apostelgeschichte;ΠΡΑΞΕΙΣ ΤΩΝ ΑΠΟΣΤΟΛΩΝ;Apostolien teot;Actes d’apôtres;KISAH PARA RASUL, BUKU;Atti degli apostoli;使徒たちの活動;사도행전;HANDELINGEN VAN APOSTELEN;APOSTLENES GJERNINGER;DZIEJE APOSTOLSKIE;Atos dos Apóstolos;HECHOS DE APÓSTOLES;APOSTLAGÄRNINGARNA;GAWA NG MGA APOSTOL, MGA
1200000085;Adadah;亚大达;亞大達;ADADA;ADADA;Adada;ΑΔΑΔΑ;Adada;Adada;ADADA;Adada;アドアダ;아다다;ADADA;ADADA;ADADA;Adada;ADADÁ;ADADA;ADADA
1200000086;Adah;亚黛;亞黛;ADA;ADA;Ada;ΑΔΑ;Ada;Ada;ADA;Ada;アダ;아다;ADA;ADA;ADA;Ada;ADÁ;ADA;ADA
1200000087;Adaiah;亚大雅;亞大雅;ADAJÁŠ;ADAJA;Adaja;ΑΔΑΪΑΣ;Adaja;Adaïa;ADAYA;Adaia;アダヤ;아다야;ADAJA;ADAJA;ADAJASZ;Adaías;ADAYA;ADAJA;ADAIAS
1200000088;Adalia;亚大利雅;亞大利雅;ADALJA;ADALJA;Adalja;ΑΔΑΛΙΑΣ;Adalja;Adalia;ADALIA;Adalia;アダルヤ;아달리야;ADALJA;ADALJA;ADALIA;Adalia;ADALÍA;ADALJA;ADALIA
1200000089;Adam;亚当;亞當;ADAM;ADAM;Adam;ΑΔΑΜ;Aadam;Adam;ADAM;Adamo;アダム;아담;ADAM;ADAM;ADAM;Adão;ADÁN;ADAM;ADAN
1200000090;Adamah;亚大玛;亞大瑪;ADAMA;ADAMA;Adama;ΑΔΑΜΑ;Adama;Adama;ADAMA;Adama;アダマ;아다마;ADAMA;ADAMA;ADAMA;Adamá;ADAMÁ;ADAMA;ADAMA
1200000091;Adami-nekeb;亚大米尼吉;亞大米尼吉;ADAMI-NEKEB;ADAMI-NEKEB;Adami-Nekeb;ΑΔΑΜΙ‐ΝΕΚΕΒ;Adami-Nekeb;Adami-Néqeb;ADAMI-NEKEB;Adami-Necheb;アダミ･ネケブ;아다미-네겝;ADAMI-NEKEB;ADAMI-NEKEB;ADAMI-NEKEB;Adami-Nequebe;ADAMÍ-NÉQUEB;ADAMI-NEKEB;ADAMI-NEKEB
1200000092;Adar;亚达月;亞達月;ADAR;ADAR;Adar;ΑΔΑΡ, 2;Adar;Adar;ADAR, I;Adar, II;アダル;아달월;ADAR;ADAR;ADAR;Adar;ADAR;ADAR;ADAR
1200000093;Adbeel;亚德别;亞德别;ADBEEL;ADBE’EL;Adbeel;ΑΔΒΕΗΛ;Adbeel;Adbéel;ADBEEL;Adbeel;アドベエル;앗브엘;ADBEËL;ADBE’EL;ADBEEL;Adbeel;ADBEEL;ADBEEL;ADBEEL
1200000094;Addar;亚达珥;亞達珥;ADDAR;ADDAR;Addar;ΑΔΔΑΡ;Addar;Addar;ADAR, II;Addar;アッダル;앗달;ADDAR;ADDAR;ADDAR;Adar;ADDAR;ADDAR;ADDAR
1200000095;Addi;亚底;亞底;ADDI;ADDI;Addi;ΑΔΔΙ;Addi;Addi;ADI;Addi;アデイ;앗디;ADDI;ADDI;ADDI;Adi;ADÍ;ADDI;ADI
1200000096;Addon;押但;押但;ADDON;ADDON;Addon;ΑΔΔΑΝ;Addon;Addôn;ADON;Addon;アドン;앗돈;ADDON;ADDON;ADDON;Adom;ADÓN;ADDON;ADON
1200000097;Adiel;亚底业;亞底業;ADIEL;ADIEL;Adiel;ΑΔΙΗΛ;Adiel;Adiël;ADIEL;Adiel;アディエル;아디엘;ADIËL;ADIEL;ADIEL;Adiel;ADIEL;ADIEL;ADIEL
